Y,X1,X2,X3
74172200,950,596,131
237650637,861,301,917
127850688,448,857,333
61383540,597,106,970
171130698,582,333,883
142895949,401,497,717
81230358,633,209,614
31564064,791,232,172
20412665,493,245,169
3079296,972,198,16
44690,545,2,41
7420104,257,36,802
184047140,262,706,995
51535500,282,731,250
18464193,621,187,159
192383664,418,906,508
509837328,924,786,702
637680540,930,938,731
189557203,541,583,601
46543716,107,562,774
101565750,330,325,947
494909404,869,692,823
49540712,596,598,139
178437600,751,270,880
246657474,579,483,882
33777000,50,972,695
310365957,447,799,869
23800,280,5,17
129870312,158,858,958
256794696,886,388,747
3162300,249,254,50
35154324,177,613,324
2543112,171,22,676
199153084,934,278,767
63657412,364,977,179
170369542,266,881,727
74764715,479,265,589
108129716,529,548,373
16246560,905,132,136
77519430,414,855,219
1637145,67,181,135
1113560,485,328,7
77751576,252,843,366
432907520,904,656,730
78064965,649,891,135
13964412,204,127,539
117425610,610,219,879
120126930,490,323,759
81576936,84,978,993
25575160,130,718,274
205617600,655,981,320
94103856,462,984,207
49370880,258,598,320
22999557,977,399,59
119786400,288,635,655
43072344,756,467,122
9009258,41,318,691
747038208,976,816,938
292639927,887,359,919
2070192,472,43,102
180725020,973,740,251
2490000,24,125,830
18999318,914,123,169
98495886,213,817,566
51889320,354,349,420
170794624,688,868,286
6836544,747,26,352
28174641,583,89,543
110538454,313,442,799
89415620,470,214,889
20007000,190,156,675
425107608,844,661,762
187211500,623,601,500
37537920,931,80,504
112309344,452,261,952
920010,210,13,337
522616344,941,634,876
159612180,780,943,217
717139724,989,812,893
36048056,524,118,583
293050029,683,537,799
139379296,296,502,938
61574144,157,766,512
69348780,255,346,786
160167952,641,322,776
311619,71,77,57
339087720,701,696,695
320155290,845,679,558
140996238,753,502,373
57003408,198,388,742
5280480,228,386,60
9275616,129,749,96
58960,16,55,67
24078600,117,280,735
402626587,817,631,781
15506994,181,109,786
1064448,8,336,396
142676160,649,960,229
424080,31,76,180
47930388,116,627,659
5119800,106,84,575
9316980,60,271,573
17473950,103,870,195
348129376,769,658,688
134508600,722,300,621
23977050,94,475,537
87539200,128,977,700
37215500,155,490,490
57370600,430,953,140
3742200,396,210,45
650574,9,94,769
2174250,223,30,325
26728800,148,344,525
161255600,550,536,547
16927638,559,147,206
264300360,786,989,340
16212560,262,455,136
308644798,889,473,734
99517440,380,341,768
13889882,163,622,137
82108731,971,397,213
48415635,387,131,955
82449784,934,761,116
3831720,555,863,8
20604672,813,144,176
197664225,263,911,825
25837812,717,182,198
12454200,740,255,66
15383606,109,238,593
61210800,694,630,140
395793592,772,887,578
125071760,880,311,457
17969604,302,141,422
177613722,429,451,918
166309908,708,503,467
92596842,494,353,531
49096950,107,483,950
30056000,325,320,289
267647191,953,371,757
265606614,419,702,903
28442214,261,206,529
92501640,710,329,396
100172160,102,990,992
27444144,793,618,56
25088000,784,250,128
102793908,447,602,382
1364220,858,318,5
85004640,937,112,810
17031168,576,42,704
344964508,469,763,964
7285252,52,169,829
69050940,509,380,357
389093628,777,836,599
126886980,263,935,516
14092650,949,225,66
581196,66,74,119
109878688,941,328,356
389938368,834,769,608
106648686,774,227,607
201590400,660,920,332
280275198,609,926,497
231014500,590,955,410
65234904,573,856,133
14322000,930,700,22
3516976,304,23,503
4832080,323,187,80
58367325,565,291,355
198180636,258,887,866
153077792,659,272,854
15327585,91,171,985
8748432,36,308,789
336727200,811,865,480
290079075,629,559,825
48214800,354,200,681
53584608,88,924,659
35484960,210,179,944
61714800,868,75,948
148935300,570,530,493
100170630,995,799,126
23299200,450,64,809
90792336,881,912,113
41990,5,17,494
7214934,417,211,82
156297600,720,810,268
115747848,802,422,342
116657343,537,681,319
6171600,50,278,444
142856280,360,581,683
138338928,408,483,702
261208608,562,552,842
16777120,184,94,970
76296448,232,478,688
321499904,428,776,968
20359416,138,308,479
74224640,190,872,448
3947520,80,96,514
49080900,214,278,825
21013122,299,106,663
7826350,70,379,295
21082152,182,294,394
565330104,584,969,999
51234876,693,404,183
463634394,669,827,838
102602110,962,415,257
85156442,898,437,217
251888288,724,628,554
52407472,988,178,298
47859504,506,563,168
51274095,939,815,67
3616704,624,18,322
13793715,85,247,657
738506160,810,972,938
2147776,32,74,907
139023360,384,420,862
221356464,856,393,658
24864084,189,577,228
200817232,746,874,308
21365625,53,625,645
172202520,840,527,389
81191292,499,546,298
61371105,145,731,579
279744256,352,968,821
56849190,237,578,415
2975232,64,156,298
33542292,566,581,102
267820080,916,886,330
211835520,897,656,360
6697768,332,154,131
92223936,672,514,267
27420800,128,779,275
31601232,331,432,221
475215325,685,821,845
53525010,658,85,957
3694208,217,896,19
81614400,525,224,694
370815900,780,595,799
44899470,341,990,133
1042800,60,316,55
10747968,727,44,336
230418688,928,328,757
270993600,820,765,432
52640640,296,180,988
199252614,561,691,514
28582200,711,300,134
83031325,325,569,449
